,Player,Age,Pos,GP,G,A,PTS,+/-,PIM,EV,PP,SH,GW,EV,PP,SH,S,S%,TOI,ATOI,OPS,DPS,PS,BLK,HIT,FOW,FOL,FO%,Ht,Wt,S/C,Exp,Salary,Team
8,Alex Barre-Boulet,26.0,F,32,6,3,9,-8,10,4,2,0,0,3,0,0,44,13.6,367.0,11:28,0.4,0.1,0.6,7,16,14,11,56.0,5-10,180,L/-,3,775000.0,TBL
9,Conor Sheary,31.0,LW,32,1,8,9,0,6,1,0,0,0,8,0,0,28,3.6,348.0,10:53,0.0,0.4,0.4,21,5,1,2,33.3,5-9,179,L/-,8,1500000.0,TBL
10,Calvin de Haan,32.0,D,45,3,4,7,-6,16,3,0,0,0,4,0,0,47,6.4,746.0,16:34,0.0,1.2,1.3,63,62,0,0,,6-1,195,L/-,11,775000.0,TBL
11,Tyler Motte,28.0,C,40,4,2,6,-1,8,3,0,1,2,2,0,0,51,7.8,503.0,12:34,-0.4,0.6,0.1,21,51,48,52,48.0,5-10,192,L/-,7,800000.0,TBL
12,Erik Cernak,26.0,D,39,0,5,5,-3,23,0,0,0,0,5,0,0,31,0.0,743.0,19:03,-0.4,1.4,1.0,63,90,0,0,,6-4,224,R/-,5,1260000.0,TBL
13,Haydn Fleury,27.0,D,12,1,3,4,3,4,1,0,0,0,3,0,0,9,11.1,185.0,15:25,0.3,0.6,0.9,15,10,0,0,,6-4,208,L/-,6,775000.0,TBL
14,Emil Martinsen Lilleberg,22.0,D,10,0,2,2,-3,4,0,0,0,0,2,0,0,4,0.0,158.0,15:50,0.0,0.1,0.1,10,32,0,0,,6-2,192,L/-,0,775000.0,TBL
15,Andrei Vasilevskiy,29.0,G,26,0,1,1,0,2,0,0,0,0,1,0,0,0,,1535.0,59:02,0.0,0.0,3.8,0,0,0,0,,6-4,220,-/L,9,4000000.0,TBL
16,Jonas Johansson,28.0,G,22,0,0,0,0,0,0,0,0,0,0,0,0,0,,1277.0,58:04,0.0,0.0,3.2,0,0,0,0,,6-5,220,-/L,4,775000.0,TBL
0,Nick Suzuki,24.0,C,49,13,29,42,-16,18,6,7,0,0,14,15,0,109,11.9,1036.0,21:08,2.6,0.6,3.2,23,37,385,328,54.0,5-11,212,R/-,4,10000000.0,MTL
1,Cole Caufield,23.0,RW,49,17,22,39,-6,12,10,7,0,6,13,9,0,176,9.7,940.0,19:11,3.0,0.9,3.9,7,34,5,7,41.7,5-7,174,R/-,3,4975000.0,MTL
2,Sean Monahan,29.0,C,49,13,22,35,-10,10,5,6,2,3,12,10,0,104,12.5,904.0,18:27,2.3,0.7,3.0,24,11,399,326,55.0,6-2,196,L/-,10,1985000.0,MTL
3,Mike Matheson,29.0,D,49,7,27,34,-17,42,2,5,0,0,13,14,0,127,5.5,1240.0,25:18,2.6,1.2,3.8,102,27,0,0,,6-2,193,L/-,8,,MTL
4,Juraj Slafkovsky,19.0,LW,49,7,13,20,-16,25,4,3,0,1,10,3,0,71,9.9,824.0,16:49,0.4,0.4,0.8,42,73,6,10,37.5,6-3,238,L/-,1,855000.0,MTL
5,Josh Anderson,29.0,RW,45,7,6,13,-13,51,7,0,0,0,4,2,0,97,7.2,742.0,16:30,-0.1,0.4,0.3,22,88,8,5,61.5,6-3,218,R/-,9,8000000.0,MTL
6,Jake Evans,27.0,C,49,2,11,13,-1,12,2,0,0,0,11,0,0,43,4.7,772.0,15:45,-0.6,0.9,0.2,38,46,314,293,51.7,6-0,186,R/-,4,1700000.0,MTL
7,Kaiden Guhle,22.0,D,45,4,8,12,-7,37,4,0,0,1,8,0,0,64,6.3,939.0,20:52,0.4,1.3,1.8,129,64,0,0,,6-2,205,L/-,1,832500.0,MTL
8,David Savard,33.0,D,27,4,7,11,-10,12,4,0,0,0,7,0,0,29,13.8,556.0,20:36,0.8,0.4,1.2,85,27,0,0,,6-1,235,R/-,12,4200000.0,MTL
9,Joel Armia,30.0,RW,33,8,1,9,1,18,6,0,2,2,1,0,0,62,12.9,483.0,14:39,0.4,0.6,1.0,18,17,3,7,30.0,6-3,216,R/-,9,4800000.0,MTL
10,Michael Pezzetta,25.0,C,38,2,7,9,2,37,2,0,0,0,7,0,0,32,6.3,286.0,7:31,0.3,0.4,0.7,16,126,5,4,55.6,6-1,210,L/-,2,800000.0,MTL
11,Johnathan Kovacevic,26.0,D,41,6,2,8,7,18,6,0,0,0,2,0,0,33,18.2,695.0,16:57,0.5,1.9,2.4,54,35,0,0,,6-4,208,R/-,2,775000.0,MTL
12,Tanner Pearson,31.0,LW,30,4,4,8,-6,13,3,1,0,0,3,1,0,48,8.3,402.0,13:24,0.1,0.2,0.3,23,29,2,10,16.7,6-1,201,L/-,10,2750000.0,MTL
13,Jesse Ylonen,24.0,RW,39,3,4,7,1,8,3,0,0,0,4,0,0,34,8.8,403.0,10:20,-0.1,0.5,0.4,25,21,5,2,71.4,6-0,167,R/-,3,775000.0,MTL
14,Jordan Harris,23.0,D,30,1,5,6,-4,16,1,0,0,0,5,0,0,22,4.5,527.0,17:33,0.0,0.8,0.8,47,10,0,0,,5-11,189,L/-,2,1400000.0,MTL
15,Rafael Harvey-Pinard,25.0,LW,22,1,5,6,-1,6,1,0,0,0,4,0,1,18,5.6,299.0,13:34,-0.1,0.3,0.2,26,18,2,8,20.0,5-9,181,L/-,2,1200000.0,MTL
16,Jayden Struble,22.0,D,31,2,2,4,-1,11,2,0,0,0,2,0,0,26,7.7,487.0,15:42,0.0,0.9,0.9,31,50,0,0,,6-0,202,L/-,0,775000.0,MTL
17,Arber Xhekaj,23.0,D,19,1,2,3,2,53,1,0,0,0,2,0,0,16,6.3,279.0,14:40,0.1,0.7,0.8,15,45,0,0,,6-4,238,L/-,1,775000.0,MTL
18,Sam Montembeault,27.0,G,23,0,2,2,0,0,0,0,0,0,1,1,0,0,,1373.0,59:41,0.0,0.0,4.4,0,0,0,0,,6-3,214,-/L,4,,MTL
19,Cayden Primeau,24.0,G,11,0,2,2,0,2,0,0,0,0,1,1,0,0,,625.0,56:52,0.0,0.0,1.8,0,0,0,0,,6-3,198,-/L,4,800000.0,MTL
20,Jake Allen,33.0,G,17,0,1,1,0,2,0,0,0,0,1,0,0,1,0.0,981.0,57:41,0.0,0.0,3.1,0,0,0,0,,6-2,195,-/L,10,3900000.0,MTL
0,Casey Mittelstadt,25.0,C,49,12,30,42,9,20,11,1,0,1,25,5,0,79,15.2,907.0,18:30,2.8,1.3,4.2,21,7,343,377,47.6,6-1,195,L/-,6,2600000.0,BUF
1,Rasmus Dahlin,23.0,D,48,13,25,38,-12,30,9,4,0,1,16,9,0,140,9.3,1201.0,25:02,3.5,1.5,5.1,91,90,0,0,,6-3,202,L/-,5,7200000.0,BUF
2,Alex Tuch,27.0,RW,42,14,20,34,-1,32,12,2,0,5,14,6,0,107,13.1,800.0,19:03,2.5,0.8,3.4,45,32,16,12,57.1,6-4,219,R/-,7,4750000.0,BUF
